name,id,smi,graph_dfs,linear_encoding,is_molecule,is_product,mod_mol,img,rdkit_mol,rdkit_svg,indigo_mol,indigo_svg,MolWt,LogP,MR,TPSA,# H acceptors,# H donors,# Rotatable bonds,# Atoms,# Bonds,# C atoms,# O atoms,# H atoms,# Atoms (no H),# Bonds (no H)
"p_{0,38}",249,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C](=[O])[C]([H])([H])[C](=[O])[C]([H])([H])[H],False,True,'g_{756}',images/mod_mol43.svg,,,,,,,,,,,,25,24,8,4,11,,
"p_{0,39}",250,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C](=[O])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],False,True,'g_{757}',images/mod_mol44.svg,,,,,,,,,,,,27,26,8,4,13,,
"p_{0,40}",251,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C](=[O])[C]([H])=[C]([H])[C]([H])([H])[H],False,True,'g_{758}',images/mod_mol45.svg,,,,,,,,,,,,24,23,8,3,11,,
"p_{0,41}",252,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C](=[O])[C]([H])([C]([H])([C]([H])([H])[H])[H])[H],False,True,'g_{759}',images/mod_mol46.svg,,,,,,,,,,,,26,25,8,3,13,,
"p_{0,42}",253,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C]([O][H])([C]([H])([H])[C](=[O])[C]([H])([H])[H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C]([O][H])([C]([H])([H])[C](=[O])[C]([H])([H])[H])[H],False,True,'g_{760}',images/mod_mol47.svg,,,,,,,,,,,,27,26,8,4,13,,
"p_{0,43}",254,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C]([O][H])([C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C]([O][H])([C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H])[H],False,True,'g_{761}',images/mod_mol48.svg,,,,,,,,,,,,29,28,8,4,15,,
"p_{0,44}",255,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C]([O][H])([C]([H])=[C]([H])[C]([H])([H])[H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C]([O][H])([C]([H])=[C]([H])[C]([H])([H])[H])[H],False,True,'g_{762}',images/mod_mol49.svg,,,,,,,,,,,,26,25,8,3,13,,
"p_{0,45}",256,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C]([O][H])([C]([H])([C]([H])([C]([H])([H])[H])[H])[H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])([H])[C]([O][H])([C]([H])([C]([H])([C]([H])([H])[H])[H])[H])[H],False,True,'g_{763}',images/mod_mol50.svg,,,,,,,,,,,,28,27,8,3,15,,
"p_{0,46}",257,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])=[C]([H])[C]([H])([H])[C](=[O])[C]([H])([H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])=[C]([H])[C]([H])([H])[C](=[O])[C]([H])([H])[H],False,True,'g_{764}',images/mod_mol51.svg,,,,,,,,,,,,24,23,8,3,11,,
"p_{0,47}",258,,[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])=[C]([H])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],[H][C]([C]([H])([H])[C]([S][AG])=[O])([O][H])[C]([H])=[C]([H])[C]([H])([H])[C]([O][H])([C]([H])([H])[H])[H],False,True,'g_{765}',images/mod_mol52.svg,,,,,,,,,,,,26,25,8,3,13,,
